pclass,survived,sex,age,sibsp,parch,fare,embarked,deck,title,fare_per_person,fare_log,family_size,is_alone
1,1,1,30.0,0,0,164.8667,S,C,Miss,41.216675,3.742815285173949,1,1
1,1,1,58.0,0,0,26.55,S,C,Miss,26.55,3.3160025355989236,1,1
1,0,0,42.0,0,0,26.55,S,D,Mr,26.55,3.3160025355989236,1,1
1,1,1,45.0,0,0,262.375,C,Unknown,Miss,37.482142857142854,3.6501943118026987,1,1
1,1,1,22.0,0,1,55.0,S,E,Miss,27.5,3.349904087274605,2,0
1,1,0,41.5,0,0,26.55,S,Unknown,Mr,26.55,3.3160025355989236,1,1
1,0,0,41.0,0,0,30.5,S,A,Mr,30.5,3.449987545831587,1,1
1,0,0,48.0,0,0,50.4958,C,B,Mr,50.4958,3.941500250945973,1,1
1,0,0,49.5,0,0,39.6,C,Unknown,Rare,39.6,3.703768066607687,1,1
1,1,1,44.0,0,0,27.7208,C,B,Mrs,27.7208,3.357621598945279,1,1
1,1,1,59.0,2,0,51.4792,S,C,Mrs,25.7396,3.286145612698786,3,0
1,1,1,60.0,0,0,76.2917,C,D,Mrs,38.14585,3.667294414263866,1,1
1,1,1,41.0,0,0,134.5,C,E,Miss,26.9,3.32862668882732,1,1
1,0,0,45.0,0,0,26.55,S,B,Rare,26.55,3.3160025355989236,1,1
1,0,0,41.5,0,0,31.0,S,Unknown,Mr,15.5,2.803360380906535,1,1
1,1,0,42.0,0,0,26.2875,S,E,Mr,26.2875,3.3064287218760624,1,1
1,1,1,53.0,0,0,27.4458,C,Unknown,Mrs,27.4458,3.34800052225782,1,1
1,1,0,36.0,0,1,512.3292,C,B,Mr,128.0823,4.860450185432205,2,0
1,1,1,58.0,0,1,512.3292,C,B,Mrs,128.0823,4.860450185432205,2,0
1,0,0,33.0,0,0,5.0,S,B,Mr,5.0,1.791759469228055,1,1
1,0,0,28.0,0,0,47.1,S,Unknown,Mr,23.55,3.2007118542405295,1,1
1,0,0,17.0,0,0,47.1,S,Unknown,Mr,23.55,3.2007118542405295,1,1
1,1,0,11.0,1,2,120.0,S,B,Master,30.0,3.4339872044851463,4,0
1,1,1,14.0,1,2,120.0,S,B,Miss,30.0,3.4339872044851463,4,0
1,1,0,36.0,1,2,120.0,S,B,Mr,30.0,3.4339872044851463,4,0
1,1,1,36.0,1,2,120.0,S,B,Mrs,30.0,3.4339872044851463,4,0
1,0,0,49.0,0,0,26.0,S,Unknown,Mr,26.0,3.295836866004329,1,1
1,1,1,45.0,0,0,27.7208,C,Unknown,Mrs,27.7208,3.357621598945279,1,1
1,0,0,36.0,1,0,78.85,S,C,Mr,26.28333333333333,3.306276015149034,2,0
1,1,1,76.0,1,0,78.85,S,C,Mrs,26.28333333333333,3.306276015149034,2,0
1,0,0,46.0,1,0,61.175,S,E,Mr,30.5875,3.4527614727143128,2,0
1,1,1,47.0,1,0,61.175,S,E,Mrs,30.5875,3.4527614727143128,2,0
1,1,0,27.0,1,0,53.1,S,E,Mr,26.55,3.3160025355989236,2,0
1,1,1,33.0,1,0,53.1,S,E,Mrs,26.55,3.3160025355989236,2,0
1,1,1,36.0,0,0,262.375,C,B,Miss,37.482142857142854,3.6501943118026987,1,1
1,1,1,30.0,0,0,86.5,S,B,Miss,28.833333333333332,3.3956263366127,1,1
1,1,0,45.0,0,0,29.7,C,A,Mr,29.7,3.4242626545931514,1,1
1,1,1,45.0,0,1,55.0,S,E,Mrs,27.5,3.349904087274605,2,0
1,0,0,41.5,0,0,61.3792,S,Unknown,Mr,61.3792,4.133231886474144,1,1
1,0,0,27.0,1,0,136.7792,C,C,Mr,68.3896,4.2397370003754595,2,0
1,1,1,26.0,1,0,136.7792,C,C,Mrs,68.3896,4.2397370003754595,2,0
1,1,1,22.0,0,0,151.55,S,Unknown,Miss,25.258333333333336,3.267983398975229,1,1
1,0,0,41.5,0,0,52.0,S,A,Mr,26.0,3.295836866004329,1,1
1,0,0,47.0,0,0,25.5875,S,E,Mr,25.5875,3.2804411805263554,1,1
1,1,1,39.0,1,1,83.1583,C,E,Miss,27.71943333333333,3.357574013251851,3,0
1,0,0,37.0,1,1,83.1583,C,E,Mr,27.71943333333333,3.357574013251851,3,0
1,1,1,64.0,0,2,83.1583,C,E,Mrs,27.71943333333333,3.357574013251851,3,0
1,1,1,55.0,2,0,25.7,S,C,Mrs,25.7,3.2846635654062037,3,0
1,0,0,41.5,0,0,26.55,S,Unknown,Mr,26.55,3.3160025355989236,1,1
1,0,0,70.0,1,1,71.0,S,B,Rare,35.5,3.597312260588446,3,0
1,1,1,36.0,0,2,71.0,S,B,Miss,35.5,3.597312260588446,3,0
1,1,1,64.0,1,1,26.55,S,B,Mrs,26.55,3.3160025355989236,3,0
1,0,0,39.0,1,0,71.2833,C,C,Mr,35.64165,3.6011855715430774,2,0
1,1,1,38.0,1,0,71.2833,C,C,Mrs,35.64165,3.6011855715430774,2,0
1,1,0,51.0,0,0,26.55,S,E,Mr,26.55,3.3160025355989236,1,1
1,1,0,27.0,0,0,30.5,S,Unknown,Mr,30.5,3.449987545831587,1,1
1,1,1,33.0,0,0,151.55,S,Unknown,Miss,25.258333333333336,3.267983398975229,1,1
1,0,0,31.0,1,0,52.0,S,B,Mr,26.0,3.295836866004329,2,0
1,1,1,27.0,1,2,52.0,S,B,Mrs,26.0,3.295836866004329,4,0
1,1,0,31.0,1,0,57.0,S,B,Mr,28.5,3.3843902633457743,2,0
1,1,1,17.0,1,0,57.0,S,B,Mrs,28.5,3.3843902633457743,2,0
1,1,0,53.0,1,1,81.8583,S,A,Rare,27.2861,3.342370517909884,3,0
1,1,0,4.0,0,2,81.8583,S,A,Master,27.2861,3.342370517909884,3,0
1,1,1,54.0,1,1,81.8583,S,A,Mrs,27.2861,3.342370517909884,3,0
1,0,0,50.0,1,0,106.425,C,C,Mr,35.475,3.5966270944088494,2,0
1,1,1,27.0,1,1,247.5208,C,B,Mrs,82.50693333333334,4.424929662341819,3,0
1,1,1,48.0,1,0,106.425,C,C,Mrs,35.475,3.5966270944088494,2,0
1,1,1,48.0,1,0,39.6,C,A,Rare,39.6,3.703768066607687,2,0
1,1,0,49.0,1,0,56.9292,C,A,Rare,28.4646,3.383189542769255,2,0
1,0,0,39.0,0,0,29.7,C,A,Mr,29.7,3.4242626545931514,1,1
1,1,1,23.0,0,1,83.1583,C,C,Mrs,27.71943333333333,3.357574013251851,2,0
1,1,1,38.0,0,0,227.525,C,C,Miss,45.505,3.8395598336944303,1,1
1,1,1,54.0,1,0,78.2667,C,D,Miss,39.13335,3.6922076594889166,2,0
1,0,1,36.0,0,0,31.6792,C,A,Miss,31.6792,3.486738789888005,1,1
1,0,0,41.5,0,0,221.7792,S,C,Mr,55.4448,4.033263169435021,1,1
1,1,1,45.0,0,0,31.6833,S,Unknown,Mrs,31.6833,3.4868642440859134,1,1
1,1,1,30.0,0,0,110.8833,C,Unknown,Miss,27.720825,3.3576224693941916,1,1
1,1,0,36.0,0,0,26.3875,S,E,Mr,26.3875,3.3100867049215847,1,1
1,0,0,30.0,0,0,27.75,C,C,Mr,27.75,3.3586377672433594,1,1
1,1,1,24.0,3,2,263.0,S,C,Miss,43.833333333333336,3.802951910373784,6,0
1,1,1,28.0,3,2,263.0,S,C,Miss,43.833333333333336,3.802951910373784,6,0
1,1,1,23.0,3,2,263.0,S,C,Miss,43.833333333333336,3.802951910373784,6,0
1,0,0,19.0,3,2,263.0,S,C,Mr,43.833333333333336,3.802951910373784,6,0
1,0,0,64.0,1,4,263.0,S,C,Mr,43.833333333333336,3.802951910373784,6,0
1,1,1,60.0,1,4,263.0,S,C,Mrs,43.833333333333336,3.802951910373784,6,0
1,1,1,30.0,0,0,56.9292,C,E,Miss,28.4646,3.383189542769255,1,1
1,0,0,41.5,0,0,26.55,S,D,Mr,26.55,3.3160025355989236,1,1
1,1,0,50.0,2,0,133.65,S,Unknown,Rare,66.825,4.216930858544996,3,0
1,1,0,43.0,1,0,27.7208,C,D,Mr,27.7208,3.357621598945279,2,0
1,1,1,45.0,1,0,133.65,S,Unknown,Mrs,66.825,4.216930858544996,2,0
1,1,1,22.0,0,2,49.5,C,B,Miss,49.5,3.9219733362813143,3,0
1,1,0,60.0,1,1,79.2,C,B,Mr,39.6,3.703768066607687,3,0
1,1,1,48.0,1,1,79.2,C,B,Mrs,39.6,3.703768066607687,3,0
1,0,0,41.5,0,0,61.3792,S,B,Mr,30.6896,3.4559885513448463,1,1
1,0,0,37.0,1,0,53.1,S,C,Mr,26.55,3.3160025355989236,2,0
1,1,1,35.0,1,0,53.1,S,C,Mrs,26.55,3.3160025355989236,2,0
1,0,0,47.0,0,0,38.5,S,E,Mr,38.5,3.676300671907076,1,1
1,1,1,35.0,0,0,211.5,C,C,Miss,42.3,3.768152635008444,1,1
1,1,1,22.0,0,1,59.4,C,Unknown,Miss,29.7,3.4242626545931514,2,0
1,1,1,45.0,0,1,59.4,C,Unknown,Mrs,29.7,3.4242626545931514,2,0
1,0,0,24.0,0,0,79.2,C,B,Mr,39.6,3.703768066607687,1,1
1,1,0,49.0,1,0,89.1042,C,C,Mr,44.5521,3.8188567258265635,2,0
1,1,1,45.0,1,0,89.1042,C,C,Mrs,44.5521,3.8188567258265635,2,0
1,0,0,71.0,0,0,34.6542,C,A,Mr,34.6542,3.57386695198272,1,1
1,1,0,53.0,0,0,28.5,C,C,Rare,28.5,3.3843902633457743,1,1
1,1,1,19.0,0,0,30.0,S,B,Miss,30.0,3.4339872044851463,1,1
1,0,0,38.0,0,1,153.4625,S,C,Mr,51.15416666666667,3.9542040759860324,2,0
1,1,1,58.0,0,1,153.4625,S,C,Mrs,51.15416666666667,3.9542040759860324,2,0
1,1,0,23.0,0,1,63.3583,C,D,Mr,31.67915,3.48673725986162,2,0
1,1,1,45.0,0,1,63.3583,C,D,Mrs,31.67915,3.48673725986162,2,0
1,0,0,46.0,0,0,79.2,C,B,Mr,39.6,3.703768066607687,1,1
1,1,0,25.0,1,0,55.4417,C,E,Mr,27.72085,3.357623339842346,2,0
1,1,1,25.0,1,0,55.4417,C,E,Mrs,27.72085,3.357623339842346,2,0
1,1,0,48.0,1,0,76.7292,C,D,Mr,25.576400000000003,3.280023603931663,2,0
1,1,1,49.0,1,0,76.7292,C,D,Mrs,25.576400000000003,3.280023603931663,2,0
1,0,0,41.5,0,0,42.4,S,Unknown,Mr,21.2,3.100092288878234,1,1
1,0,0,45.0,1,0,83.475,S,C,Mr,41.7375,3.75507675496542,2,0
1,1,1,35.0,1,0,83.475,S,C,Mrs,41.7375,3.75507675496542,2,0
1,0,0,40.0,0,0,61.3792,S,B,Mr,61.3792,4.133231886474144,1,1
1,1,0,27.0,0,0,76.7292,C,D,Mr,25.576400000000003,3.280023603931663,1,1
1,1,0,41.5,0,0,30.0,S,D,Mr,30.0,3.4339872044851463,1,1
1,1,1,24.0,0,0,83.1583,C,C,Miss,27.71943333333333,3.357574013251851,1,1
1,0,0,55.0,1,1,93.5,S,B,Mr,23.375,3.193558016883911,3,0
1,1,1,52.0,1,1,93.5,S,B,Mrs,23.375,3.193558016883911,3,0
1,0,0,42.0,0,0,42.5,S,B,Mr,42.5,3.7727609380946383,1,1
1,0,0,41.5,0,0,51.8625,S,E,Mr,25.93125,3.293287322382011,1,1
1,0,0,55.0,0,0,50.0,S,C,Mr,50.0,3.9318256327243257,1,1
1,1,1,16.0,0,1,57.9792,C,B,Miss,28.9896,3.400850654892709,2,0
1,1,1,44.0,0,1,57.9792,C,B,Mrs,28.9896,3.400850654892709,2,0
1,1,1,51.0,1,0,77.9583,S,D,Mrs,25.986099999999997,3.2953219186268687,2,0
1,0,0,42.0,1,0,52.0,S,Unknown,Mr,26.0,3.295836866004329,2,0
1,1,1,35.0,1,0,52.0,S,Unknown,Mrs,26.0,3.295836866004329,2,0
1,1,0,35.0,0,0,26.55,C,Unknown,Mr,26.55,3.3160025355989236,1,1
1,1,0,38.0,1,0,90.0,S,C,Mr,45.0,3.828641396489095,2,0
1,0,0,41.5,0,0,30.6958,C,Unknown,Mr,30.6958,3.4561841799918147,1,1
1,1,1,35.0,1,0,90.0,S,C,Mrs,45.0,3.828641396489095,2,0
1,1,1,38.0,0,0,80.0,S,B,Miss,40.0,3.713572066704308,1,1
1,0,1,50.0,0,0,28.7125,C,C,Miss,28.7125,3.391567832686312,1,1
1,1,0,49.0,0,0,61.3792,S,B,Mr,30.6896,3.4559885513448463,1,1
1,0,0,46.0,0,0,26.0,S,Unknown,Mr,26.0,3.295836866004329,1,1
1,0,0,50.0,0,0,26.0,S,E,Mr,26.0,3.295836866004329,1,1
1,0,0,32.5,0,0,211.5,C,C,Mr,42.3,3.768152635008444,1,1
1,0,0,58.0,0,0,29.7,C,B,Mr,29.7,3.4242626545931514,1,1
1,0,0,41.0,1,0,51.8625,S,D,Mr,25.93125,3.293287322382011,2,0
1,1,1,45.0,1,0,51.8625,S,D,Mrs,25.93125,3.293287322382011,2,0
1,1,0,42.0,1,0,52.5542,S,D,Mr,26.2771,3.306047522339149,2,0
1,1,1,45.0,1,0,52.5542,S,D,Mrs,26.2771,3.306047522339149,2,0
1,0,0,41.5,0,0,26.55,S,C,Mr,26.55,3.3160025355989236,1,1
1,1,1,39.0,0,0,211.3375,S,Unknown,Miss,52.834375,3.985912203652597,1,1
1,1,1,49.0,0,0,25.9292,S,D,Rare,25.9292,3.2932111997353943,1,1
1,1,1,30.0,0,0,106.425,C,Unknown,Miss,35.475,3.5966270944088494,1,1
1,1,0,35.0,0,0,512.3292,C,B,Mr,128.0823,4.860450185432205,1,1
1,0,0,41.5,0,0,27.7208,C,Unknown,Mr,27.7208,3.357621598945279,1,1
1,0,0,42.0,0,0,26.55,S,Unknown,Mr,26.55,3.3160025355989236,1,1
1,1,1,55.0,0,0,27.7208,C,Unknown,Mrs,27.7208,3.357621598945279,1,1
1,1,1,16.0,0,1,39.4,S,D,Miss,19.7,3.0301337002713233,2,0
1,1,1,51.0,0,1,39.4,S,D,Mrs,19.7,3.0301337002713233,2,0
1,0,0,29.0,0,0,30.0,S,D,Mr,30.0,3.4339872044851463,1,1
1,1,1,21.0,0,0,77.9583,S,D,Miss,25.986099999999997,3.2953219186268687,1,1
1,0,0,30.0,0,0,45.5,S,Unknown,Mr,45.5,3.8394523125933104,1,1
1,1,1,58.0,0,0,146.5208,C,B,Miss,48.84026666666667,3.908823224919673,1,1
1,1,1,15.0,0,1,211.3375,S,B,Miss,52.834375,3.985912203652597,2,0
1,0,0,30.0,0,0,26.0,S,C,Mr,26.0,3.295836866004329,1,1
1,1,1,16.0,0,0,86.5,S,B,Miss,28.833333333333332,3.3956263366127,1,1
1,1,0,41.5,0,0,29.7,C,C,Mr,29.7,3.4242626545931514,1,1
1,0,0,19.0,1,0,53.1,S,D,Mr,26.55,3.3160025355989236,2,0
1,1,1,18.0,1,0,53.1,S,D,Mrs,26.55,3.3160025355989236,2,0
1,1,1,24.0,0,0,49.5042,C,C,Miss,49.5042,3.922056501139853,1,1
1,0,0,46.0,0,0,75.2417,C,C,Mr,37.62085,3.653792286079762,1,1
1,0,0,54.0,0,0,51.8625,S,E,Mr,25.93125,3.293287322382011,1,1
1,1,0,36.0,0,0,26.2875,S,E,Mr,26.2875,3.3064287218760624,1,1
1,0,0,28.0,1,0,82.1708,C,Unknown,Mr,41.0854,3.7397008871924475,2,0
1,1,1,45.0,1,0,82.1708,C,Unknown,Mrs,41.0854,3.7397008871924475,2,0
1,0,0,65.0,0,0,26.55,S,E,Mr,26.55,3.3160025355989236,1,1
1,0,0,44.0,2,0,90.0,Q,C,Rare,30.0,3.4339872044851463,3,0
1,1,1,33.0,1,0,90.0,Q,C,Miss,30.0,3.4339872044851463,2,0
1,1,1,37.0,1,0,90.0,Q,C,Mrs,30.0,3.4339872044851463,2,0
1,1,0,30.0,1,0,57.75,C,C,Mr,28.875,3.397022010251675,2,0
1,0,0,55.0,0,0,30.5,S,C,Mr,30.5,3.449987545831587,1,1
1,0,0,47.0,0,0,42.4,S,Unknown,Mr,21.2,3.100092288878234,1,1
1,0,0,37.0,0,1,29.7,C,C,Mr,29.7,3.4242626545931514,2,0
1,1,1,31.0,1,0,113.275,C,D,Miss,37.75833333333333,3.657345786442051,2,0
1,1,1,23.0,1,0,113.275,C,D,Miss,37.75833333333333,3.657345786442051,2,0
1,0,0,58.0,0,2,113.275,C,D,Mr,37.75833333333333,3.657345786442051,3,0
1,1,1,19.0,0,2,26.2833,S,D,Miss,26.2833,3.3062747934011893,3,0
1,0,0,64.0,0,0,26.0,S,Unknown,Mr,26.0,3.295836866004329,1,1
1,1,1,39.0,0,0,108.9,C,C,Rare,36.300000000000004,3.61899332664977,1,1
1,1,0,41.5,0,0,25.7417,C,Unknown,Mr,25.7417,3.286224144821269,1,1
1,1,1,22.0,0,1,61.9792,C,B,Miss,30.9896,3.465410849975781,2,0
1,0,0,65.0,0,1,61.9792,C,B,Mr,30.9896,3.465410849975781,2,0
1,0,0,28.5,0,0,27.7208,C,D,Mr,27.7208,3.357621598945279,1,1
1,0,0,41.5,0,0,61.3792,S,Unknown,Mr,61.3792,4.133231886474144,1,1
1,0,0,45.5,0,0,28.5,S,C,Mr,28.5,3.3843902633457743,1,1
1,0,0,23.0,0,0,93.5,S,B,Mr,23.375,3.193558016883911,1,1
1,0,0,29.0,1,0,66.6,S,C,Mr,33.3,3.535145354171894,2,0
1,1,1,22.0,1,0,66.6,S,C,Mrs,33.3,3.535145354171894,2,0
1,0,0,18.0,1,0,108.9,C,C,Mr,36.300000000000004,3.61899332664977,2,0
1,1,1,17.0,1,0,108.9,C,C,Mrs,36.300000000000004,3.61899332664977,2,0
1,1,1,30.0,0,0,93.5,S,B,Miss,23.375,3.193558016883911,1,1
1,1,0,52.0,0,0,30.5,S,C,Rare,30.5,3.449987545831587,1,1
1,0,0,47.0,0,0,52.0,S,C,Mr,26.0,3.295836866004329,1,1
1,1,1,56.0,0,1,83.1583,C,C,Mrs,27.71943333333333,3.357574013251851,2,0
1,0,0,38.0,0,0,61.3792,S,Unknown,Rare,61.3792,4.133231886474144,1,1
1,1,0,41.5,0,0,39.6,S,Unknown,Mr,39.6,3.703768066607687,1,1
1,0,0,22.0,0,0,135.6333,C,Unknown,Mr,33.908325,3.552725339444502,1,1
1,0,0,41.5,0,0,227.525,C,Unknown,Mr,45.505,3.8395598336944303,1,1
1,1,1,43.0,0,1,211.3375,S,B,Mrs,52.834375,3.985912203652597,2,0
1,0,0,31.0,0,0,50.4958,S,A,Mr,50.4958,3.941500250945973,1,1
1,1,0,45.0,0,0,26.55,S,Unknown,Mr,26.55,3.3160025355989236,1,1
1,0,0,41.5,0,0,50.0,S,A,Mr,50.0,3.9318256327243257,1,1
1,1,1,33.0,0,0,27.7208,C,A,Miss,27.7208,3.357621598945279,1,1
1,0,0,46.0,0,0,79.2,C,Unknown,Mr,39.6,3.703768066607687,1,1
1,0,0,36.0,0,0,40.125,C,A,Mr,40.125,3.716616209085536,1,1
1,1,1,33.0,0,0,86.5,S,B,Rare,28.833333333333332,3.3956263366127,1,1
1,0,0,55.0,1,0,59.4,C,Unknown,Mr,29.7,3.4242626545931514,2,0
1,1,1,54.0,1,0,59.4,C,Unknown,Mrs,29.7,3.4242626545931514,2,0
1,0,0,33.0,0,0,26.55,S,Unknown,Mr,26.55,3.3160025355989236,1,1
1,1,0,13.0,2,2,262.375,C,B,Master,37.482142857142854,3.6501943118026987,5,0
1,1,1,18.0,2,2,262.375,C,B,Miss,37.482142857142854,3.6501943118026987,5,0
1,1,1,21.0,2,2,262.375,C,B,Miss,37.482142857142854,3.6501943118026987,5,0
1,0,0,61.0,1,3,262.375,C,B,Mr,37.482142857142854,3.6501943118026987,5,0
1,1,1,48.0,1,3,262.375,C,B,Mrs,37.482142857142854,3.6501943118026987,5,0
1,1,0,41.5,0,0,30.5,S,C,Mr,30.5,3.449987545831587,1,1
1,1,1,24.0,0,0,69.3,C,B,Miss,34.65,3.573749146860305,1,1
1,1,0,41.5,0,0,26.0,S,Unknown,Mr,26.0,3.295836866004329,1,1
1,1,1,35.0,1,0,57.75,C,C,Mrs,28.875,3.397022010251675,2,0
1,1,1,30.0,0,0,31.0,C,Unknown,Miss,15.5,2.803360380906535,1,1
1,1,0,34.0,0,0,26.55,S,Unknown,Mr,26.55,3.3160025355989236,1,1
1,1,1,40.0,0,0,153.4625,S,C,Miss,51.15416666666667,3.9542040759860324,1,1
1,1,0,35.0,0,0,26.2875,S,E,Mr,26.2875,3.3064287218760624,1,1
1,0,0,50.0,1,0,55.9,S,E,Mr,27.95,3.3655702040190043,2,0
1,1,1,39.0,1,0,55.9,S,E,Mrs,27.95,3.3655702040190043,2,0
1,1,0,56.0,0,0,35.5,C,A,Rare,35.5,3.597312260588446,1,1
1,1,0,28.0,0,0,35.5,S,A,Mr,35.5,3.597312260588446,1,1
1,0,0,56.0,0,0,26.55,S,Unknown,Mr,26.55,3.3160025355989236,1,1
1,0,0,56.0,0,0,30.6958,C,A,Mr,30.6958,3.4561841799918147,1,1
1,0,0,24.0,1,0,60.0,S,C,Mr,30.0,3.4339872044851463,2,0
1,0,0,41.5,0,0,26.0,S,A,Mr,26.0,3.295836866004329,1,1
1,1,1,18.0,1,0,60.0,S,C,Mrs,30.0,3.4339872044851463,2,0
1,1,0,24.0,1,0,82.2667,S,B,Mr,41.13335,3.740839588614189,2,0
1,1,1,23.0,1,0,82.2667,S,B,Mrs,41.13335,3.740839588614189,2,0
1,1,0,6.0,0,2,134.5,C,E,Master,26.9,3.32862668882732,3,0
1,1,0,45.0,1,1,134.5,C,E,Mr,26.9,3.32862668882732,3,0
1,1,1,40.0,1,1,134.5,C,E,Mrs,26.9,3.32862668882732,3,0
1,0,0,57.0,1,0,146.5208,C,B,Mr,48.84026666666667,3.908823224919673,2,0
1,1,1,45.0,1,0,146.5208,C,B,Mrs,48.84026666666667,3.908823224919673,2,0
1,1,0,32.0,0,0,30.5,C,B,Rare,30.5,3.449987545831587,1,1
1,0,0,62.0,0,0,26.55,S,C,Mr,26.55,3.3160025355989236,1,1
1,1,0,54.0,1,0,55.4417,C,C,Mr,27.72085,3.357623339842346,2,0
1,1,1,43.0,1,0,55.4417,C,C,Mrs,27.72085,3.357623339842346,2,0
1,1,1,52.0,1,0,78.2667,C,D,Mrs,39.13335,3.6922076594889166,2,0
1,0,0,41.5,0,0,27.7208,C,Unknown,Mr,27.7208,3.357621598945279,1,1
1,1,1,62.0,0,0,80.0,S,B,Mrs,40.0,3.713572066704308,1,1
1,0,0,67.0,1,0,221.7792,S,C,Mr,55.4448,4.033263169435021,2,0
1,0,1,63.0,1,0,221.7792,S,C,Mrs,55.4448,4.033263169435021,2,0
1,0,0,61.0,0,0,32.3208,S,D,Mr,32.3208,3.5061818266142577,1,1
1,1,1,48.0,0,0,25.9292,S,D,Mrs,25.9292,3.2932111997353943,1,1
1,1,1,18.0,0,2,79.65,S,E,Miss,26.55,3.3160025355989236,3,0
1,0,0,52.0,1,1,79.65,S,E,Mr,26.55,3.3160025355989236,3,0
1,1,1,39.0,1,1,79.65,S,E,Mrs,26.55,3.3160025355989236,3,0
1,1,0,48.0,1,0,52.0,S,C,Mr,26.0,3.295836866004329,2,0
1,1,1,45.0,1,0,52.0,S,C,Mrs,26.0,3.295836866004329,2,0
1,0,0,49.0,1,1,110.8833,C,C,Mr,27.720825,3.3576224693941916,3,0
1,1,0,17.0,0,2,110.8833,C,C,Mr,27.720825,3.3576224693941916,3,0
1,1,1,39.0,1,1,110.8833,C,C,Mrs,27.720825,3.3576224693941916,3,0
1,1,1,45.0,0,0,79.2,C,Unknown,Mrs,39.6,3.703768066607687,1,1
1,1,0,31.0,0,0,28.5375,C,C,Mr,28.5375,3.3856606425130265,1,1
1,0,0,40.0,0,0,27.7208,C,Unknown,Rare,27.7208,3.357621598945279,1,1
1,0,0,61.0,0,0,33.5,S,B,Mr,33.5,3.5409593240373143,1,1
1,0,0,47.0,0,0,34.0208,S,D,Mr,34.0208,3.5559421706858756,1,1
1,1,1,35.0,0,0,512.3292,C,Unknown,Miss,128.0823,4.860450185432205,1,1
1,0,0,64.0,1,0,75.25,C,D,Mr,37.625,3.6538997352179097,2,0
1,1,1,60.0,1,0,75.25,C,D,Mrs,37.625,3.6538997352179097,2,0
1,0,0,60.0,0,0,26.55,S,Unknown,Rare,26.55,3.3160025355989236,1,1
1,0,0,54.0,0,1,77.2875,S,D,Mr,38.64375,3.6799333064000703,2,0
1,0,0,21.0,0,1,77.2875,S,D,Mr,38.64375,3.6799333064000703,2,0
1,1,1,55.0,0,0,135.6333,C,C,Mrs,33.908325,3.552725339444502,1,1
1,1,1,31.0,0,2,164.8667,S,C,Miss,41.216675,3.742815285173949,3,0
